64, 27
65, -19
66, 1
67, 1
68, -17
69, -57
70, 17
71, -9
72, 33
73, -13
74, -5
75, -15
76, 41
77, -33
78, -17
79, -1
80, -9
81, -21
82, 57
83, 15
84, -51
85, -17
86, -97
87, -21
88, -27
89, -9
90, -55
91, 55
92, 19
93, 11
94, 1
95, -69
96, 33
97, 21
98, 49
99, 21
100, 5
101, 39
102, -5
103, 53
104, -41
105, -51
106, 39
107, -37
108, 29
109, 17
110, -31
111, -37
112, 23
113, -21
114, 23
115, 23
116, -21
117, -45
118, -15
119, 1
120, -11
121, 11
122, -43
123, -15
124, 47
125, 15
126, 1
127, -41
128, 21
129, 15
130, 37
131, -9
132, 11
133, 15
134, -73
135, -15
136, -19
137, -13
138, -31
139, -7
140, -5
141, 51
142, 23
143, 11
144, 1
145, -69
146, 33
147, 21
148, 49
149, 21
150, 5
151, 39
152, -5
153, 53
154, -41
155, -51
156, 39
157, -37
158, 29
159, 17
160, -31
161, -37
162, 23
163, -21
164, 23
165, 23
166, -21
167, -45
168, -15
169, 1
170, -11
171, 11
172, -43
173, -15
174, 47
175, 15
176, 1
177, -41
178, 21
179, 15
180, 37
181, -9
182, 11
183, 15
184, -73
185, -15
186, -19
187, -13
188, -31
189, -7
190, -5
191, 51
192, 23
193, 11
194, 1
195, -69
196, 33
197, 21
198, 49
199, 21
200, 5
201, 39
202, -5
203, 53
204, -41
205, -51
206, 39
207, -37
208, 29
209, 17
210, -31
211, -37
212, 23
213, -21
214, 23
215, 23
216, -21
217, -45
218, -15
219, 1
220, -11
221, 11
222, -43
223, -15
224, 47
225, 15
226, 1
227, -41
228, 21
229, 15
230, 37
231, -9
232, 11
233, 15
234, -73
235, -15
236, -19
237, -13
238, -31
239, -7
240, -5
241, 51
242, 23
243, 11
244, 1
245, -69
246, 33
247, 21
248, 49
249, 21
250, 5
251, 39
252, -5
253, 53
254, -41
255, -51
256, 39
257, -37
258, 29
259, 17
260, -31
261, -37
262, 23
263, -21
264, 23
265, 23
266, -21
267, -45
268, -15
269, 1
270, -11
271, 11
272, -43
273, -15
274, 47
275, 15
276, 1
277, -41
278, 21
279, 15
280, 37
281, -9
282, 11
283, 15
284, -73
285, -15
286, -19
287, -13
288, -31
289, -7
290, -5
291, 51
292, 23
293, 11
294, 1
295, -69
296, 33
297, 21
298, 49
299, 21
300, 5
301, 39
302, -5
303, 53
304, -41
305, -51
306, 39
307, -37
308, 29
309, 17
310, -31
311, -37
312, 23
313, -21
314, 23
315, 23
316, -21
317, -45
318, -15
319, 1
320, -11
321, 11
322, -43
323, -15
